"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Text.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Upload.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 88, 0, 2, 11, 101
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\styled.js", "JavaScript", 0, 294, 0, 0, 0, 0, 0, 0, 0, 1, 44, 339
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 5, 55
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\styled.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\reducer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\redux\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\redux\reducer.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\test\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 7, 37
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\common.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\crop-image.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\fetchApi.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
